shoeName,brand,category,color,price,releaseDate,rating,imageLink
So Kate Patent Pointed-Toe Red Sole Pump,Christian Louboutin,Pumps & Heels,Black,745,2013,4.1,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_1200/01/nm_878680_100106_m"
YSL Logo- Heel Sandal with Black Hardware,Saint Laurent,Pumps & Heels,Nero,995,2017,4.1,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_2796987_100106_m"
Luriane Metallic Leather Slingback High-Heel Sandals,Schutz,Pumps & Heels,Gold,118,2019,5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_2915940_100602_m"
Lou Crystal Suede Pumps,Schutz,Pumps & Heels,Black,118,2017,4.4,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4191035_100106_m"
Zala Point-Toe Pumps,Marc Fisher,Pumps & Heels,Black,160,2019,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_2832482_100107_m"
Marina Ankle-Strap Sandals,Badgley Mischka,Pumps & Heels,Red,225,2016,4.2,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4134417_100520_m"
Patent Leather Sandals with Logo Heel,Dolce & Gabbana,Pumps & Heels,Black,1195,2017,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3289324_100106_m"
Jenlove Leather Peep-Toe Red Sole High-Heel Pumps,Christian Louboutin,Pumps & Heels,Black,995,2015,4.2,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4038866_100106_m"
Frida Embroidered Suede Sphere Sandals,Kat Maconie,Pumps & Heels,Pink,390,2021,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4133464_100550_m"
95mm Leather Metallic-Heel Slide Sandals,Fendi,Pumps & Heels,Black,1390,2021,4.2,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4139688_100106_m"
Devon Denim Mule Sandals,The Attico,Pumps & Heels,Denim Blue,750,2021,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4207764_100380_m"
Roman Stud 100mm Sandals,Valentino Garavani,Pumps & Heels,Nero,1150,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4169191_100106_m"
